gtbboxid,classid,imageid,lx,rx,ty,by,difficult,split
2384,357,217,0.5067,0.6500,0.2475,0.5950,0,train
2385,358,217,0.7100,0.8100,0.3250,0.5750,0,train
2386,358,217,0.8167,0.9500,0.3100,0.5775,0,train
2387,305,217,0.1300,0.2500,0.6500,0.9675,0,train
2388,305,217,0.2400,0.3733,0.6500,1.0000,0,train
2389,305,217,0.3700,0.5067,0.6525,1.0000,0,train
2390,361,217,0.5333,0.7100,0.7150,1.0000,0,train
2391,361,217,0.7067,0.8167,0.7025,0.9725,1,train
2392,1022,218,0.0025,0.2975,0.2833,0.9533,0,val-new-cl
2393,1022,218,0.2875,0.4950,0.2900,0.8200,0,val-new-cl
2394,366,218,0.5050,0.7050,0.2533,0.9033,0,val-new-cl
2395,366,218,0.6925,0.8950,0.2467,0.8800,0,val-new-cl
2396,366,218,0.8700,0.9725,0.2500,0.7900,1,val-new-cl
2397,2,219,0.0725,0.2375,0.1433,0.4467,0,train
2398,3,219,0.2325,0.4300,0.0933,0.4467,0,train
2399,3,219,0.4300,0.6350,0.0867,0.4533,0,train
2400,3,219,0.6325,0.8450,0.0933,0.4533,0,train
2401,1023,219,0.8350,1.0000,0.1600,0.4500,0,train
2402,0,219,0.0800,0.3000,0.6100,1.0000,0,train
2403,0,219,0.2975,0.5100,0.6200,1.0000,0,train
2404,0,219,0.5100,0.7050,0.6167,1.0000,0,train
2405,2,220,0.0100,0.3567,0.1675,0.5275,0,train
2406,2,220,0.3667,0.6633,0.2225,0.5250,0,train
2407,2,220,0.6533,0.9500,0.2300,0.5300,0,train
2408,367,220,0.1567,0.4667,0.6350,0.9825,0,train
2409,367,220,0.4667,0.7067,0.6250,0.9050,0,train
2410,0,220,0.7867,1.0000,0.6625,1.0000,1,train
2411,368,221,0.0000,0.1400,0.1633,0.4667,0,train
2412,368,221,0.1250,0.3125,0.1700,0.4700,0,train
2413,369,221,0.3075,0.4800,0.1800,0.4800,0,train
2414,369,221,0.4800,0.6500,0.1800,0.4833,0,train
2415,369,221,0.6400,0.8250,0.1833,0.4867,0,train
2416,370,221,0.8075,0.9775,0.2233,0.4933,0,train
2417,2,221,0.0000,0.1400,0.6767,1.0000,0,train
2418,2,221,0.1225,0.3000,0.6800,1.0000,0,train
2419,3,221,0.2875,0.4750,0.6733,1.0000,0,train
2420,3,221,0.4725,0.6575,0.6733,1.0000,0,train
2421,3,221,0.6475,0.8400,0.6767,1.0000,0,train
2422,6,222,0.4100,0.6150,0.0800,0.4833,0,train
2423,7,222,0.6175,0.8325,0.0833,0.4800,0,train
2424,7,222,0.8250,1.0000,0.0933,0.4800,0,train
2425,5,222,0.0175,0.2400,0.5900,0.9900,0,train
2426,5,222,0.2400,0.4375,0.5900,0.9800,0,train
2427,5,222,0.4400,0.6375,0.5933,0.9900,0,train
2428,1023,223,0.0000,0.1500,0.0933,0.4967,1,train
2429,371,223,0.1475,0.3650,0.1100,0.5033,0,train
2430,371,223,0.3625,0.5725,0.1300,0.5067,0,train
2431,372,223,0.5750,0.8000,0.1000,0.5033,0,train
2432,372,223,0.7925,1.0000,0.1067,0.5100,0,train
2433,6,223,0.0200,0.2525,0.6333,1.0000,0,train
2434,7,223,0.2525,0.4725,0.6367,1.0000,0,train
2435,7,223,0.4725,0.6900,0.6367,1.0000,0,train
2436,7,223,0.6825,0.9050,0.6367,1.0000,0,train
2437,371,224,0.0000,0.1500,0.0500,0.4133,1,train
2438,372,224,0.1500,0.3675,0.0133,0.4133,0,train
2439,372,224,0.3625,0.5750,0.0033,0.4167,0,train
2440,372,224,0.5800,0.8100,0.0000,0.4133,0,train
2441,372,224,0.8025,1.0000,0.0000,0.4100,0,train
2442,7,224,0.0575,0.2625,0.5600,0.9833,0,train
2443,7,224,0.2625,0.4825,0.5567,0.9933,0,train
2444,373,224,0.4850,0.6875,0.5567,0.9433,0,train
2445,373,224,0.6975,0.9500,0.5533,1.0000,0,train
2446,1,225,0.2025,0.4050,0.0600,0.3833,0,train
2447,1,225,0.4000,0.5925,0.0533,0.3833,0,train
2448,1,225,0.5875,0.7950,0.0567,0.3833,0,train
2449,1,225,0.7675,0.9900,0.0633,0.3967,0,train
2450,371,225,0.0000,0.1750,0.6433,1.0000,0,train
2451,372,225,0.1500,0.3875,0.6167,0.9967,0,train
2452,372,225,0.3825,0.6050,0.6200,1.0000,0,train
2453,372,225,0.5950,0.8325,0.6267,1.0000,0,train
2454,372,225,0.8075,1.0000,0.6300,1.0000,0,train
2455,370,226,0.0000,0.1575,0.0000,0.3100,0,train
2456,370,226,0.1425,0.3475,0.0067,0.3200,0,train
2457,1,226,0.7375,0.9675,0.0000,0.3200,0,train
2458,371,226,0.3225,0.5500,0.5900,1.0000,0,train
2459,371,226,0.5475,0.7800,0.5967,1.0000,0,train
2460,372,226,0.7600,1.0000,0.5700,1.0000,0,train
2461,370,227,0.0000,0.2067,0.0350,0.2350,0,train
2462,1,227,0.6733,0.9433,0.0000,0.2375,0,train
2463,371,227,0.1867,0.4400,0.4150,0.6775,0,train
2464,371,227,0.4367,0.6933,0.4200,0.6775,0,train
2465,372,227,0.6867,0.9800,0.3975,0.6750,0,train
2467,6,227,0.0400,0.3167,0.7625,1.0000,0,train
2468,7,227,0.3133,0.5867,0.7625,1.0000,0,train
2469,7,227,0.5767,0.8600,0.7575,1.0000,0,train
2470,7,227,0.8400,1.0000,0.7575,1.0000,1,train
2471,1,228,0.2033,0.4533,0.0000,0.1900,0,train
2472,1,228,0.4500,0.7100,0.0000,0.1875,0,train
2473,1,228,0.7000,0.9633,0.0000,0.1825,0,train
2474,371,228,0.0000,0.2000,0.3825,0.6425,0,train
2475,372,228,0.2000,0.4567,0.3550,0.6425,0,train
2476,372,228,0.4533,0.7200,0.3575,0.6375,0,train
2477,372,228,0.7100,1.0000,0.3550,0.6350,0,train
2478,7,228,0.0700,0.3367,0.7175,1.0000,0,train
2479,7,228,0.3300,0.6033,0.7150,1.0000,0,train
2480,373,228,0.5867,0.8467,0.7025,0.9925,0,train
2481,369,229,0.1133,0.3500,0.0000,0.2250,0,train
2482,369,229,0.3500,0.5933,0.0000,0.2250,0,train
2483,369,229,0.5867,0.8500,0.0000,0.2250,0,train
2484,370,229,0.8333,1.0000,0.0000,0.2175,0,train
2485,2,229,0.0000,0.1167,0.4075,0.6450,0,train
2486,3,229,0.1167,0.3567,0.3875,0.6425,0,train
2487,3,229,0.3500,0.6000,0.3850,0.6400,0,train
2488,3,229,0.5933,0.8500,0.3825,0.6425,0,train
2489,0,229,0.0000,0.2167,0.7375,1.0000,0,train
2490,0,229,0.2000,0.4600,0.7350,1.0000,0,train
2491,0,229,0.4633,0.7000,0.7200,1.0000,0,train
2492,6,229,0.6900,0.9967,0.7400,0.8950,0,train
2494,3,230,0.0000,0.2567,0.0350,0.2875,0,train
2495,371,230,0.7300,1.0000,0.0000,0.2675,0,train
2496,6,230,0.6167,0.8867,0.3700,0.6500,0,train
2497,1000,230,0.0000,0.1400,0.7375,0.9900,0,train
2498,5,230,0.1633,0.4300,0.7275,1.0000,0,train
2499,5,230,0.4300,0.6967,0.7200,1.0000,0,train
2500,5,230,0.6733,0.9500,0.7100,0.9975,0,train
2501,371,231,0.1467,0.4200,0.0000,0.2425,0,train
2502,371,231,0.4133,0.6800,0.0000,0.2475,0,train
2503,372,231,0.6800,0.9567,0.0000,0.2475,0,train
2504,6,231,0.0233,0.2967,0.3475,0.6375,0,train
2505,7,231,0.2967,0.5600,0.3475,0.6325,0,train
2506,7,231,0.5600,0.8100,0.3475,0.6250,0,train
2507,7,231,0.8067,1.0000,0.3425,0.6200,0,train
2508,5,231,0.0800,0.3400,0.6975,1.0000,0,train
2509,368,232,0.0167,0.2267,0.1150,0.3475,0,train
2510,368,232,0.2200,0.4933,0.0650,0.3450,0,train
2511,368,232,0.4867,0.7700,0.0575,0.3475,0,train
2512,369,232,0.7700,1.0000,0.0525,0.3400,0,train
2513,2,232,0.0000,0.2600,0.5225,0.8275,0,train
2514,2,232,0.2633,0.5233,0.5275,0.8000,0,train
2515,2,232,0.5100,0.7767,0.5200,0.8025,0,train
2516,3,232,0.7767,1.0000,0.5150,0.8275,0,train
2517,368,233,0.0775,0.2875,0.0900,0.4167,0,train
2518,368,233,0.2875,0.4800,0.0967,0.4300,0,train
2519,369,233,0.4825,0.6700,0.1167,0.4367,0,train
2520,369,233,0.6550,0.8600,0.1200,0.4400,0,train
2521,369,233,0.8325,1.0000,0.1233,0.4433,0,train
2522,2,233,0.0825,0.2925,0.6600,1.0000,0,train
2523,2,233,0.2850,0.4750,0.6600,1.0000,0,train
2524,3,233,0.4775,0.6900,0.6467,1.0000,0,train
2525,3,233,0.6700,0.8850,0.6500,1.0000,0,train
2526,3,233,0.8575,1.0000,0.6500,1.0000,0,train
2527,374,234,0.1425,0.2425,0.4867,0.7333,0,train
2528,374,234,0.1725,0.2825,0.2533,0.4833,0,train
2529,374,234,0.2400,0.3575,0.4933,0.7700,0,train
2530,374,234,0.2825,0.3775,0.2667,0.4833,0,train
2531,374,234,0.3775,0.4675,0.2733,0.4833,0,train
2532,374,234,0.4675,0.5650,0.2733,0.4933,0,train
2533,374,234,0.3625,0.4800,0.4933,0.7700,0,train
2534,374,234,0.4800,0.5925,0.5000,0.7667,0,train
2535,374,234,0.6000,0.7625,0.4133,0.7800,0,train
2536,374,234,0.7550,0.9025,0.4167,0.7833,0,train
2537,374,234,0.8975,1.0000,0.4200,0.7833,0,train
2538,374,235,0.3825,0.5075,0.0000,0.2800,0,train
2539,374,235,0.5075,0.6575,0.0000,0.3300,0,train
2540,374,235,0.6400,0.8075,0.0033,0.3400,0,train
2541,374,235,0.7700,0.9400,0.0000,0.3433,0,train
2545,374,236,0.0000,0.0825,0.1300,0.3333,0,train
2546,374,236,0.0800,0.1750,0.1200,0.3100,0,train
2547,374,236,0.1625,0.2400,0.1233,0.3133,0,train
2548,374,236,0.2325,0.3125,0.1433,0.3467,1,train
2549,374,236,0.0250,0.1350,0.3833,0.6000,0,train
2550,374,236,0.1225,0.2350,0.3900,0.6000,0,train
2551,374,236,0.2200,0.3275,0.3933,0.6000,0,train
2552,374,236,0.3225,0.4400,0.3567,0.6133,0,train
2553,374,236,0.4375,0.5575,0.3600,0.6133,0,train
2554,374,236,0.5500,0.6750,0.3567,0.6167,0,train
2555,374,236,0.6700,0.7950,0.3333,0.5933,0,train
2556,1024,236,0.8100,0.8800,0.1300,0.3000,1,train
2557,1024,236,0.8850,0.9825,0.1400,0.3267,0,train
2558,1024,236,0.8450,0.9625,0.4000,0.5833,0,train
2559,374,237,0.0000,0.1150,0.3067,0.5767,0,train
2560,374,237,0.0975,0.2325,0.2967,0.5700,0,train
2561,374,237,0.2150,0.3475,0.2933,0.5667,0,train
2562,374,237,0.3425,0.4675,0.2733,0.5433,0,train
2563,1024,237,0.4625,0.5400,0.3067,0.4833,0,train
2564,1024,237,0.4550,0.5225,0.1033,0.2633,0,train
2565,1024,237,0.5300,0.6000,0.1033,0.2733,0,train
2566,1024,237,0.6025,0.6825,0.1100,0.2833,0,train
2567,1024,237,0.6750,0.7425,0.1033,0.2667,0,train
2568,1024,237,0.5475,0.6400,0.3300,0.5267,0,train
2569,1024,237,0.6350,0.7200,0.3367,0.5200,0,train
2570,1024,237,0.7175,0.8200,0.3367,0.5433,0,train
2571,1024,237,0.8325,0.9600,0.2600,0.5433,0,train
2572,377,238,0.0100,0.1550,0.1600,0.5367,0,train
2573,377,238,0.1575,0.3050,0.1667,0.5300,0,train
2574,377,238,0.3050,0.4475,0.1667,0.5333,0,train
2575,377,238,0.4500,0.5900,0.1733,0.5400,0,train
2576,377,238,0.5925,0.7300,0.1767,0.5367,0,train
2577,377,238,0.7325,0.8700,0.1833,0.5367,0,train
2578,377,238,0.8675,0.9550,0.2300,0.5400,0,train
2579,377,238,0.0950,0.2525,0.6400,1.0000,0,train
2580,377,238,0.2500,0.4000,0.6433,1.0000,0,train
2581,377,238,0.4000,0.5400,0.6400,1.0000,0,train
2582,377,238,0.5400,0.6825,0.6400,1.0000,0,train
2583,377,238,0.6875,0.8275,0.6433,1.0000,0,train
2584,377,238,0.8275,0.9700,0.6433,1.0000,0,train
2585,378,239,0.0000,0.0825,0.0000,0.3333,1,train
2586,378,239,0.0775,0.2000,0.0000,0.3367,0,train
2587,379,239,0.1950,0.2900,0.1500,0.3400,0,train
2588,379,239,0.2900,0.3875,0.1567,0.3433,0,train
2589,379,239,0.3875,0.4850,0.1533,0.3433,0,train
2590,379,239,0.4875,0.5925,0.1567,0.3467,0,train
2591,379,239,0.5925,0.6975,0.1567,0.3467,0,train
2592,379,239,0.6925,0.7825,0.1900,0.3500,0,train
2593,379,239,0.7800,0.8825,0.1867,0.3433,0,train
2594,379,239,0.8800,0.9950,0.1867,0.3433,0,train
2595,379,239,0.2025,0.3200,0.0000,0.1467,0,train
2596,379,239,0.3200,0.4050,0.0100,0.1567,0,train
2597,379,239,0.4050,0.5000,0.0000,0.1567,0,train
2598,379,239,0.5000,0.5875,0.0133,0.1567,0,train
2599,379,239,0.5875,0.6800,0.0133,0.1567,0,train
2600,379,239,0.6800,0.7775,0.0100,0.1933,0,train
2601,379,239,0.7725,0.8700,0.0033,0.1867,0,train
2602,379,239,0.8600,0.9725,0.0000,0.1833,0,train
2603,380,239,0.0150,0.1775,0.6900,1.0000,0,train
2604,380,239,0.2175,0.3425,0.6900,1.0000,0,train
2605,380,239,0.3400,0.4725,0.6867,1.0000,0,train
2606,380,239,0.4775,0.5900,0.6900,1.0000,0,train
2607,377,239,0.5925,0.7525,0.6800,1.0000,0,train
2608,377,239,0.7375,0.8350,0.6900,1.0000,0,train
2609,377,239,0.8250,0.9650,0.6867,1.0000,0,train
2610,378,240,0.0233,0.1733,0.1600,0.4700,0,train
2611,378,240,0.1733,0.3167,0.1650,0.4700,0,train
2612,378,240,0.3067,0.4533,0.1625,0.4700,0,train
2613,378,240,0.4500,0.5933,0.1625,0.4700,0,train
2614,379,240,0.5933,0.7267,0.3300,0.4675,0,train
2615,379,240,0.5900,0.7200,0.1925,0.3300,0,train
2616,379,240,0.7233,0.8600,0.3275,0.4625,0,train
2617,379,240,0.7167,0.8300,0.2250,0.3300,0,train
2618,379,240,0.8500,1.0000,0.3275,0.4625,0,train
2619,379,240,0.8333,0.9867,0.1900,0.3275,0,train
2620,380,240,0.0767,0.2500,0.7150,0.9700,0,train
2621,380,240,0.0000,0.0933,0.7150,0.9700,1,train
2622,380,240,0.2400,0.4133,0.7150,0.9725,0,train
2623,380,240,0.4100,0.5800,0.7200,0.9750,0,train
2624,380,240,0.6867,0.8733,0.7200,0.9825,0,train
2625,380,240,0.8533,1.0000,0.7200,0.9825,0,train
2626,378,241,0.0000,0.1233,0.1050,0.4275,1,train
2627,379,241,0.1167,0.2433,0.2925,0.4350,0,train
2628,379,241,0.1267,0.2833,0.1475,0.2925,0,train
2629,379,241,0.2500,0.3800,0.2925,0.4350,0,train
2630,379,241,0.3800,0.5100,0.2950,0.4350,0,train
2631,379,241,0.5133,0.6500,0.2925,0.4350,0,train
2632,379,241,0.6467,0.7867,0.2950,0.4375,0,train
2633,379,241,0.7900,0.8967,0.3175,0.4350,0,train
2634,379,241,0.8900,1.0000,0.3125,0.4350,0,train
2635,379,241,0.2867,0.3967,0.1825,0.2925,0,train
2636,379,241,0.3933,0.5233,0.1475,0.2950,0,train
2637,379,241,0.5233,0.6367,0.1850,0.2925,0,train
2638,379,241,0.6300,0.7567,0.1825,0.2950,0,train
2639,379,241,0.7500,0.8833,0.1825,0.3200,0,train
2640,379,241,0.8700,1.0000,0.1825,0.3150,0,train
2641,380,241,0.1533,0.3267,0.6975,0.9700,0,train
2642,380,241,0.3233,0.5000,0.6975,0.9675,0,train
2643,380,241,0.5033,0.6533,0.6900,0.9350,0,train
2644,377,241,0.6633,0.8833,0.6875,0.9725,0,train
2645,377,241,0.8667,1.0000,0.6950,0.9325,1,train
2646,379,242,0.0700,0.2067,0.0000,0.1125,0,train
2647,379,242,0.2100,0.3500,0.0000,0.1125,0,train
2648,379,242,0.3500,0.4967,0.0000,0.1100,0,train
2649,379,242,0.4967,0.6400,0.0000,0.1125,0,train
2650,379,242,0.6467,0.7833,0.0000,0.1100,0,train
2651,379,242,0.7867,0.8933,0.0100,0.1100,1,train
2652,379,242,0.8933,1.0000,0.0075,0.1075,1,train
2653,380,242,0.1500,0.3167,0.4025,0.6450,0,train
2654,380,242,0.3133,0.4900,0.4025,0.6450,0,train
2655,380,242,0.4900,0.6400,0.4150,0.6325,0,train
2656,377,242,0.6567,0.8600,0.3750,0.6375,0,train
2657,377,242,0.8533,0.9667,0.4075,0.6275,1,train
2658,377,242,0.0000,0.1300,0.7225,1.0000,1,train
2659,377,242,0.1167,0.3067,0.7200,1.0000,0,train
2660,377,242,0.3033,0.4967,0.7150,0.9975,0,train
2661,377,242,0.5000,0.6833,0.7175,1.0000,0,train
2662,377,242,0.6767,0.8100,0.6975,0.9350,0,train
2663,377,242,0.8033,0.9667,0.7025,0.9325,0,train
2664,381,243,0.0000,0.0625,0.0033,0.3933,0,train
2665,381,243,0.0550,0.1525,0.0033,0.4033,0,train
2666,381,243,0.1525,0.2500,0.0000,0.3900,0,train
2667,381,243,0.2500,0.3500,0.0000,0.3867,0,train
2668,381,243,0.3500,0.4550,0.0000,0.3900,0,train
2669,381,243,0.4525,0.5625,0.0000,0.3900,0,train
2670,381,243,0.5600,0.6725,0.0000,0.3833,0,train
2671,381,243,0.6700,0.7800,0.0133,0.3800,0,train
2672,378,243,0.7725,0.8650,0.0733,0.3733,0,train
2673,378,243,0.8600,0.9625,0.0700,0.3700,0,train
2674,382,243,0.0000,0.1075,0.5000,0.9900,0,train
2675,382,243,0.1025,0.2125,0.5033,0.9933,0,train
2676,382,243,0.2125,0.3325,0.5000,1.0000,0,train
2677,382,243,0.3325,0.4425,0.5033,0.9967,0,train
2678,382,243,0.4425,0.5625,0.4967,1.0000,0,train
2679,382,243,0.5675,0.6925,0.4900,1.0000,0,train
2680,382,243,0.6850,0.8100,0.4933,1.0000,0,train
2681,382,243,0.7950,0.9050,0.5133,1.0000,0,train
2682,382,243,0.8975,1.0000,0.5033,1.0000,0,train
2683,384,244,0.0667,0.2433,0.7375,0.9775,0,train
2684,384,244,0.2500,0.3700,0.7175,0.9350,0,train
2685,384,244,0.3700,0.5100,0.7150,0.9400,0,train
2686,384,244,0.5067,0.6533,0.7125,0.9425,0,train
2687,384,244,0.6433,0.7933,0.7125,0.9475,0,train
2688,384,244,0.7900,0.9533,0.7125,0.9500,0,train
2689,382,244,0.0000,0.1367,0.2875,0.6625,0,train
2690,382,244,0.1300,0.2867,0.2825,0.6625,0,train
2691,382,244,0.2900,0.4600,0.2650,0.6575,0,train
2692,382,244,0.4433,0.6300,0.2575,0.6550,0,train
2693,382,244,0.7367,0.9400,0.2675,0.6400,0,train
2694,381,244,0.0033,0.1300,0.0000,0.1900,0,train
2695,381,244,0.1267,0.2833,0.0000,0.1800,0,train
2696,381,244,0.2767,0.4633,0.0000,0.1650,0,train
2697,381,244,0.4600,0.6200,0.0000,0.1525,0,train
2698,378,244,0.6200,0.7567,0.0000,0.1400,0,train
2699,378,244,0.7467,0.8867,0.0000,0.1350,0,train
2700,384,245,0.0000,0.1050,0.6633,0.9533,0,train
2701,384,245,0.1075,0.2150,0.6633,0.9533,0,train
2702,384,245,0.2125,0.3200,0.6667,0.9533,0,train
2703,384,245,0.3200,0.4325,0.6833,1.0000,0,train
2704,384,245,0.4375,0.5525,0.6833,0.9967,0,train
2705,384,245,0.5525,0.6650,0.6800,1.0000,0,train
2706,384,245,0.6675,0.7775,0.6833,1.0000,0,train
2707,384,245,0.7675,0.8350,0.6700,0.9467,0,train
2708,384,245,0.8350,0.9325,0.6767,0.9467,0,train
2709,384,245,0.9325,1.0000,0.6667,0.9433,0,train
2710,382,245,0.0000,0.1100,0.0500,0.5700,0,train
2711,382,245,0.1125,0.2375,0.0533,0.5733,0,train
2712,382,245,0.2375,0.3650,0.0500,0.5700,0,train
2713,382,245,0.3675,0.4900,0.0567,0.5767,0,train
2714,382,245,0.4900,0.6125,0.0600,0.5800,0,train
2715,382,245,0.6075,0.7375,0.0667,0.5767,0,train
2716,382,245,0.7375,0.8575,0.0700,0.5833,0,train
2717,382,245,0.8575,1.0000,0.0600,0.5767,0,train
2718,384,246,0.0033,0.1567,0.7300,0.9650,0,train
2719,384,246,0.1600,0.3100,0.7325,0.9625,0,train
2720,384,246,0.3100,0.4633,0.7325,0.9625,0,train
2721,384,246,0.4667,0.6167,0.7325,0.9650,0,train
2722,384,246,0.6167,0.7700,0.7325,0.9600,0,train
2723,384,246,0.7900,1.0000,0.7550,0.9975,0,train
2724,382,246,0.0000,0.1733,0.2400,0.6675,0,train
2725,382,246,0.1733,0.3367,0.2675,0.6600,0,train
2726,382,246,0.3500,0.5433,0.2475,0.6700,0,train
2727,382,246,0.5433,0.7267,0.2450,0.6750,0,train
2728,382,246,0.7233,0.9067,0.2450,0.6750,0,train
2729,383,247,0.0533,0.2300,0.0750,0.4075,0,train
2730,383,247,0.2200,0.3933,0.0775,0.4150,0,train
2731,381,247,0.3933,0.5533,0.0850,0.4150,0,train
2732,381,247,0.5533,0.7067,0.0900,0.4200,0,train
2733,381,247,0.6933,0.8567,0.0925,0.4200,0,train
2734,381,247,0.8433,1.0000,0.1000,0.4225,0,train
2735,382,247,0.0000,0.1233,0.5100,0.9650,1,train
2736,382,247,0.1133,0.2933,0.5250,0.9325,0,train
2737,382,247,0.2933,0.4900,0.5150,0.9700,0,train
2738,382,247,0.4967,0.6767,0.5125,0.9675,0,train
2739,382,247,0.6800,0.8667,0.5125,0.9650,0,train
2740,382,247,0.8567,1.0000,0.5175,0.9675,0,train
2741,383,248,0.0000,0.1033,0.1275,0.4350,0,train
2742,383,248,0.1000,0.2867,0.1175,0.4325,0,train
2743,383,248,0.2900,0.4367,0.1100,0.4250,0,train
2744,383,248,0.4367,0.6000,0.0975,0.4250,0,train
2745,383,248,0.5833,0.7600,0.0925,0.4175,1,train
2746,384,248,0.0367,0.1500,0.5975,0.7500,0,train
2747,384,248,0.0000,0.0900,0.7525,0.9350,0,train
2748,384,248,0.0900,0.2167,0.7450,0.9325,0,train
2749,384,248,0.1533,0.2300,0.5925,0.7500,0,train
2750,384,248,0.2200,0.3600,0.5800,0.7550,0,train
2751,384,248,0.2200,0.3600,0.7575,0.9600,0,train
2752,382,248,0.3733,0.5433,0.5225,0.9575,0,train
2753,382,248,0.5367,0.6933,0.5325,0.9325,0,train
2754,382,248,0.7300,0.9533,0.5150,0.9600,0,train
2757,383,249,0.2375,0.3175,0.0800,0.4067,0,train
2758,383,249,0.3225,0.4125,0.0300,0.4100,0,train
2759,383,249,0.4150,0.5150,0.0333,0.4100,0,train
2760,383,249,0.5125,0.6125,0.0433,0.4100,0,train
2761,383,249,0.6075,0.7175,0.0400,0.4133,0,train
2762,383,249,0.7200,0.8400,0.0533,0.4067,0,train
2763,383,249,0.8300,0.9525,0.0433,0.4100,0,train
2764,384,249,0.0450,0.1525,0.5900,0.7933,0,train
2765,384,249,0.0175,0.1250,0.7967,1.0000,0,train
2766,384,249,0.1200,0.2250,0.7967,1.0000,0,train
2767,384,249,0.2225,0.3275,0.7900,1.0000,0,train
2768,384,249,0.3275,0.4200,0.7933,1.0000,0,train
2769,384,249,0.4225,0.5100,0.7867,1.0000,0,train
2770,384,249,0.5100,0.6025,0.7833,1.0000,0,train
2771,384,249,0.5975,0.6950,0.7833,1.0000,0,train
2772,384,249,0.6975,0.8175,0.7867,1.0000,0,train
2773,384,249,0.1425,0.2550,0.5867,0.7933,0,train
2774,384,249,0.2525,0.3425,0.5967,0.7867,0,train
2775,384,249,0.3425,0.4350,0.5967,0.7900,0,train
2776,384,249,0.4375,0.5125,0.6167,0.7867,0,train
2777,384,249,0.5125,0.5975,0.6067,0.7867,0,train
2778,384,249,0.5925,0.6775,0.6067,0.7833,0,train
2779,384,249,0.6900,0.8050,0.5833,0.7833,0,train
2780,382,249,0.8025,0.9325,0.5267,1.0000,0,train
2781,384,250,0.0000,0.0975,0.1967,0.4133,0,train
2782,384,250,0.0925,0.2075,0.2000,0.4100,0,train
2783,384,250,0.2100,0.2975,0.2300,0.4233,0,train
2784,384,250,0.3025,0.3975,0.2367,0.4333,0,train
2785,384,250,0.4025,0.4825,0.2800,0.4333,0,train
2786,384,250,0.4800,0.5600,0.2667,0.4367,0,train
2787,384,250,0.5575,0.6375,0.2667,0.4400,0,train
2788,384,250,0.6550,0.7600,0.2200,0.4233,0,train
2789,384,250,0.0000,0.0775,0.4100,0.6100,0,train
2790,384,250,0.0750,0.1750,0.4100,0.6233,0,train
2791,384,250,0.1725,0.2850,0.4100,0.6233,0,train
2792,384,250,0.2875,0.3775,0.4267,0.6167,0,train
2793,384,250,0.3775,0.4675,0.4267,0.6200,0,train
2794,384,250,0.4650,0.5550,0.4300,0.6200,0,train
2795,384,250,0.5525,0.6450,0.4267,0.6200,0,train
2796,384,250,0.6525,0.7650,0.4200,0.6233,0,train
2797,382,250,0.7700,0.8775,0.1633,0.6200,0,train
2798,382,250,0.8725,0.9425,0.1967,0.6267,0,train
2799,384,250,0.0100,0.1250,0.7200,1.0000,0,train
2800,384,250,0.1250,0.2475,0.7233,1.0000,0,train
2801,384,250,0.2500,0.3400,0.7067,0.9867,0,train
2802,384,250,0.3425,0.4400,0.7067,0.9867,0,train
2803,384,250,0.4425,0.5325,0.7000,0.9500,0,train
2804,384,250,0.5400,0.6425,0.7100,0.9900,0,train
2805,384,250,0.6425,0.7400,0.7100,0.9900,0,train
2806,384,250,0.7400,0.8350,0.7100,0.9867,0,train
2807,384,250,0.8350,0.9300,0.7100,0.9900,0,train
2808,384,250,0.9325,1.0000,0.7133,0.9800,0,train
2809,381,251,0.0067,0.1033,0.0000,0.2075,0,train
2810,381,251,0.1000,0.2000,0.0025,0.2100,0,train
2811,381,251,0.1967,0.2933,0.0050,0.2150,0,train
2812,381,251,0.2867,0.3833,0.0050,0.2100,0,train
2813,381,251,0.3767,0.4733,0.0050,0.2125,0,train
2814,381,251,0.4667,0.5600,0.0100,0.2075,0,train
2815,381,251,0.5533,0.6400,0.0425,0.2125,0,train
2816,378,251,0.6367,0.7067,0.0700,0.2125,0,train
2817,378,251,0.7067,0.7800,0.0750,0.2150,0,train
2818,378,251,0.7800,0.8800,0.0450,0.2100,0,train
2819,378,251,0.8767,0.9567,0.0475,0.2125,0,train
2820,382,251,0.0000,0.0967,0.2675,0.4925,0,train
2821,382,251,0.0933,0.2000,0.2675,0.4900,0,train
2822,382,251,0.1867,0.3000,0.2675,0.4925,0,train
2823,382,251,0.2933,0.3900,0.2700,0.4850,0,train
2824,382,251,0.3867,0.4767,0.2700,0.4825,0,train
2825,382,251,0.4800,0.5833,0.2650,0.4825,0,train
2826,382,251,0.5667,0.6633,0.2675,0.4775,0,train
2827,382,251,0.6533,0.7200,0.2850,0.4775,0,train
2828,382,251,0.7167,0.8033,0.2800,0.4750,0,train
2829,380,251,0.8100,0.9100,0.3550,0.4750,0,train
2830,380,251,0.9100,0.9900,0.3550,0.4725,0,train
2831,384,251,0.0000,0.0733,0.5425,0.6725,0,train
2832,384,251,0.0733,0.1633,0.5425,0.6775,0,train
2833,384,251,0.1633,0.2567,0.5375,0.6750,0,train
2834,384,251,0.2533,0.3433,0.5350,0.6725,0,train
2835,384,251,0.3467,0.4300,0.5350,0.6675,0,train
2836,384,251,0.4300,0.4967,0.5300,0.6575,0,train
2837,384,251,0.4967,0.5733,0.5275,0.6525,0,train
2838,384,251,0.5767,0.6500,0.5275,0.6500,0,train
2839,384,251,0.6500,0.7267,0.5225,0.6425,0,train
